Trial,Number,Type,Injury,Ambulance,Firetruck,Police,Vehicles,Fire,Weather
1,1,0,1,1,1,1,0,1,1
2,0,0,0,0,1,0,1,1,1
3,0,0,0,0,1,0,0,1,1
4,0,0,1,1,1,1,1,1,1
5,1,0,0,0,1,0,0,1,0
6,0,0,1,1,1,1,0,1,1
7,0,0,1,1,1,1,0,1,1
8,0,0,1,1,1,1,1,1,1
9,1,0,1,1,1,1,1,1,1
10,0,0,1,1,1,1,0,1,0
11,0,0,1,1,1,1,0,1,1
12,0,0,0,0,1,0,0,1,1
13,0,0,1,1,1,1,0,1,1
14,1,0,1,1,1,1,1,1,1
15,1,0,0,0,1,1,1,1,1
16,1,0,1,1,1,1,0,1,0
17,0,0,1,1,1,1,1,1,1
18,1,0,1,1,1,1,0,1,1
19,1,0,1,1,1,1,1,1,1
20,1,0,0,0,1,0,0,1,0
21,1,0,1,1,1,1,1,1,1
22,1,0,1,1,1,1,1,1,1
23,1,0,0,0,1,1,1,1,1
24,0,0,1,1,1,1,0,1,1
25,1,0,1,1,1,1,0,1,1
26,0,0,1,1,1,1,1,1,1
27,1,0,1,1,1,1,1,1,0
28,1,0,1,1,1,1,1,1,1
29,1,0,1,1,1,1,1,1,1
30,0,0,0,0,1,1,0,1,1
31,0,0,0,0,1,1,1,1,1
32,1,0,0,0,1,1,1,1,1
33,0,0,1,1,1,1,1,1,0
34,1,0,1,1,1,1,1,1,0
35,0,0,1,1,1,1,1,1,0
36,0,0,1,1,0,1,0,1,1
37,0,0,0,0,1,0,0,1,1
38,0,0,1,1,1,1,1,1,1
39,0,0,1,1,1,1,1,1,1
40,1,0,1,1,1,1,1,1,1
41,1,0,0,0,1,0,1,1,1
42,1,0,1,1,1,1,1,1,1
43,0,0,1,1,1,0,1,1,1
44,0,0,1,1,1,1,1,1,1
45,0,0,0,0,1,0,1,1,0
46,1,0,1,0,1,0,1,1,1
47,0,0,0,0,1,0,1,1,1
48,1,0,1,1,1,1,1,1,1
49,0,0,0,0,1,0,0,1,1
50,0,0,0,0,1,0,1,1,1
51,0,0,1,1,1,1,1,1,1
52,0,0,0,0,1,0,0,1,1
53,1,0,1,1,1,1,1,1,1
54,0,0,0,0,1,0,0,1,0
55,1,0,1,1,1,1,0,1,1
56,0,0,0,0,1,0,1,1,1
57,0,0,1,1,1,1,0,1,1
58,1,0,1,1,1,1,0,1,1
59,1,0,1,1,1,1,1,1,1
60,1,0,1,1,1,1,0,1,1
61,0,0,1,1,1,1,0,1,1
62,0,0,0,0,1,0,0,1,1
63,0,0,0,0,0,0,0,0,1
64,0,0,1,1,0,1,1,1,1
65,1,0,1,1,1,1,1,1,1
66,0,0,1,1,1,1,1,1,1
67,0,0,0,0,1,0,1,1,1
68,0,0,1,1,1,1,1,1,1
69,1,0,1,1,1,1,1,1,1
70,0,0,1,1,1,1,1,1,1
71,0,0,0,0,1,1,0,1,1
72,0,0,0,0,1,0,0,1,1
73,1,0,1,1,1,1,0,1,1
74,0,0,0,0,0,0,0,0,1
75,0,0,0,0,1,0,1,1,1
76,0,0,0,0,1,0,1,1,1
77,1,0,0,0,1,0,1,1,1
78,0,0,0,0,1,0,1,1,1
79,0,0,0,0,0,0,0,0,1
80,1,0,1,1,1,1,1,1,1
81,1,0,0,0,1,0,1,1,1
82,0,0,0,0,0,0,0,0,1
83,0,0,1,1,0,1,1,1,1
84,1,0,1,1,1,1,0,1,1
85,0,0,0,0,0,0,0,0,0
86,0,0,1,1,1,1,0,1,1
87,1,0,1,1,0,1,1,1,1
88,1,0,0,0,1,1,1,1,1
89,0,0,1,1,1,1,1,1,1
90,1,0,0,0,1,1,1,1,1
91,0,0,1,1,1,1,1,1,1
92,1,0,0,0,1,0,1,1,0
93,0,0,1,1,1,1,1,1,1
94,0,0,0,0,1,1,1,1,1
95,0,0,0,0,1,0,1,1,1
96,1,0,1,1,1,1,0,1,1
97,1,0,0,0,1,0,0,1,1
98,0,0,0,0,1,0,1,1,1
99,1,0,1,1,1,1,0,1,1
100,1,0,1,1,1,1,1,1,1