filename,Number of vehicles in accident,Accident Type,Person Injury?,Need for ambulance?,Need for firetruck?,Need for Police?,Types of vehicles involved,Fire?,Weather,Low Res/Bad Footage?
000099.mp4, Unknown (The video only shows one vehicle in the frame.), Unknown (No accident is visible in the provided frame.), Unknown (There is no evidence of injuries in the frame.)," Unknown (Based on the frame, no ambulance is needed.)"," Unknown (Based on the frame, no firetruck is needed.)"," Unknown (Based on the frame, no police are needed.)", Truck (Only a truck is visible in the frame.), No," Night, weather is unknown.", Yes
000100.mp4," 0 (Based on the single frame provided, there is no accident visible. Just vehicles traveling in wet conditions.)", N/A (No accident is visible), No (No accident visible), No (No accident visible), No (No accident visible), No (No accident visible)," Cars, van, possibly a bus in background", No," Day, wet"," Yes, the footage is low resolution."
000101.mp4, 2, T-bone, Likely yes (due to the nature of T-bone accidents), Likely yes, No, Yes," Van, Minivan", No," Day, clear", Yes
000102.mp4, 2, Rear end, Cannot determine., Cannot determine., No.," Likely, but cannot confirm."," Sedan, Sedan", No.," Day, Rainy/Wet.", Yes.
000103.mp4, 2, T-Bone, Cannot determine, Cannot determine, No, Likely, Sedan and a Van, No, Day/Clear, Yes
000104.mp4, Unknown. Only one vehicle is visible in the provided frame., Unknown, Unknown., Unknown., Unknown., Unknown., Possibly a van or taxi., No.," Night, Wet (likely raining).", Yes.
000105.mp4," 0 (Based on the provided single frame, there is no visible accident occurring)", N/A (No accident is visible), No (No accident is visible to cause injury), No (No accident is visible), No (No fire or accident is visible), No (No accident is visible),"  Various vehicles are visible in the traffic flow (sedans, vans, trucks), but none are shown in an accident.", No," Day, unclear weather (visibility is reduced)."," Yes, low resolution."
000106.mp4,2,T-bone,yes,likely,no,yes,"motorcycle, sedan",no,"Day, clear",yes
000107.mp4," 0 (Based on the image, there is no accident visible)", None, No, No, No, No," Van, cars, bus, taxi", No," Day, appears to be rainy or wet.", Yes
000108.mp4,2,T-bone,"Possibly, based on the ambulance present.",Yes,No (not visible),"Likely, given the accident type.","Sedan, possibly another sedan or small car.",No (not visible),"Day, wet.",Yes
000109.mp4, 2, T-bone (or near T-bone)," Potentially yes (due to the nature of the impact, injuries are possible)", Probably yes (given the potential for injuries in a T-bone collision)," Unlikely (unless there's a fire or significant entrapment, which isn't apparent)"," Yes (to investigate the accident, file a report, and manage the scene)"," Bus, Sedan", No," Night, possibly wet (the road appears shiny).", Yes (the image is grainy and lacks detail)
000110.mp4, 2, T-bone (appears to be an intersection collision), Likely yes (given the nature of T-bone collisions), Likely yes (given potential injuries), Unknown (depends on the extent of damage/potential hazards), Likely yes (to investigate the accident and manage traffic), Sedans (it's difficult to discern specific makes/models), No," Day, clear"," Yes (the video quality is poor, making detailed analysis difficult)"
000111.mp4, 2, T-bone (inferred from the vehicle's movement and impact point)," Unknown, but potentially yes (given the T-bone accident type, the risk of injury is higher)", Likely yes (due to the potential for injuries from a T-bone accident)," Possibly no (no visible signs of fire or smoke, but could be needed for vehicle extrication)", Likely yes (to investigate the accident and file a report), Sedan and possibly a SUV, No," Night, likely rainy (wet road surface)", Yes
000112.mp4," 0 (Based on the image, there is no visible accident)", N/A (No accident is visible), No (No visible accident or injuries), No (No indication of need), No (No indication of need), No (No indication of need)," Sedan, Truck", No," Day, clear", Yes
000113.mp4, 2, Rear-end collision (based on the positioning of the vehicles).," Potentially yes (impossible to determine from the footage, but rear-end collisions can often result in injuries)."," Potentially yes (dependent on injuries, but rear-end collisions can often result in injuries).", No (no visible fire or hazard requiring fire department assistance)., Likely yes (traffic accidents usually require police intervention for documentation and potential investigation)., Sedans (it is hard to tell)., No," Night, possibly wet (rain/wet pavement is visible).", Yes.
000114.mp4, 2, T-bone (based on the vehicle positions and trajectories), Likely yes (based on the impact type), Likely yes (due to the potential for injuries), Potentially yes (due to possible fluid leaks or other hazards), Yes (to investigate the accident), Sedans (based on the general vehicle shape), No (no visible signs of fire)," Night, wet (based on the lighting conditions and water reflections on the road)", Yes (low resolution and limited clarity)
000115.mp4, 2," Side impact/potentially T-bone,"," Likely No (based on visual assessment, cannot confirm)."," Likely No (based on visual assessment, cannot confirm).", No, Likely Yes," 1 sedan, 1 hatchback/small car", No," Day, clear", Yes
000116.mp4, I cannot determine if an accident happened and how many vehicles were involved., I cannot determine if an accident happened and how the type., Cannot determine, Cannot determine, Cannot determine, Cannot determine," I can see what appear to be a taxi and other cars, but the exact type of vehicles is unclear.", No," Night, possibly rainy/wet", Yes
000117.mp4,2,T-bone,unknown,unknown,no,likely,"hatchback, sedan",no,"day, clear",yes
000118.mp4, 2, T-bone, Likely yes, Yes, No, Yes, Car and Motorcycle, No," Day, Clear", Yes
000119.mp4, 2," T-bone (possible, due to the angle of impact)"," Cannot determine (Likely, as the white vehicle T-bones the other)", Likely (Due to T-bone nature), Unlikely, Likely, Sedan (gold) and van (white), No, Day/Rainy, Yes
000120.mp4," 0 (Based on this single frame, there's no visible accident).", Not Applicable (No accident detected).," No (No accident, cannot determine injury).", No (No accident)., No (No fire or accident requiring fire services)., No (No visible accident).," Sedan, Van, other types of vehicles are present, but not clearly discernible.", No.," Daytime, very heavy rain/flooding."," Yes, the footage is low resolution, and visibility is significantly reduced due to the heavy rain."
000121.mp4, 1, Single vehicle accident, Unclear, Unclear, No, Unclear, Bus, No," Day, clear", Yes
000122.mp4," Difficult to definitively determine from this image. I can see what appears to be multiple vehicles, but whether they are all involved in an accident is unclear. Estimating at least 2+."," Due to the low resolution and limited view, I cannot determine the specific accident type. It appears to be a multivehicle accident but the impact angles are not visible.",  Cannot determine with certainty. Unknown., Cannot determine with certainty. Unknown., Cannot determine with certainty. Unknown.," Likely, due to the potential for a multivehicle accident. Probably yes.", Can only make rough estimates. Appears to be various types. I see forms suggesting at least one sedan or compact car and potentially another larger vehicle., No., Night. Weather appears to be wet/rainy., Yes.
000123.mp4, 3, Rear-end collision., Cannot be determined., Cannot be determined., Cannot be determined., Cannot be determined.," Truck, sedan, sedan.", No.," Daytime, clear weather.", Yes.
000124.mp4, 0 (There is no accident occurring in the image.), N/A (No accident is occurring), No (No accident is occurring), No (No accident is occurring), No (No accident is occurring), No (No accident is occurring),"  The image shows a bus, a truck and a small scooter or motorcycle, but they are not involved in an accident.", No," Day, and weather appears to be clear", Yes
000125.mp4,2,T-bone,Likely yes (due to nature of accident and involvement of motorcycle),Likely yes (due to potential for injury),Unlikely no (no visual indication of fire or need for rescue),Likely yes (to investigate and document the accident),"Motorcycle, Sedan",No,"Day, Overcast",Yes
000126.mp4,2,T-bone,"Likely yes, based on the nature of the collision between the vehicles.","Likely yes, due to potential injuries.","Likely no, no evidence of fire.","Likely yes, to investigate and file a report.",Bus and a motorcycle,No.,"Day, clear.",Yes.
000127.mp4,2,T-bone,Unknown,Unknown,Unknown,Unknown,Appears to be two sedans.,No,"Night, clear",Yes
000128.mp4, 2, It appears to be a side impact (T-bone) or a near-side collision. It's hard to be certain from the angle., Cannot be determined from the image., Cannot be determined from the image., Cannot be determined from the image.," Cannot be determined from the image, but given the nature of the collision, it's likely they would be needed."," One appears to be a box truck or van, and the other appears to be a sedan.", No., Night. Snowy conditions are evident.,"  The footage quality is low resolution, making detailed assessment difficult."
000129.mp4, 2, T-bone (based on the position of the vehicles after the impact).," Based on the video, there is no immediate medical evaluation.", Possibly. It is difficult to ascertain if there are any major injuries.," The firetruck is already at the location, meaning, that there is no additional need.", Unknown if the police are on-site or required., Car or SUV and a firetruck., No.," Daytime, clear weather.", No.
000130.mp4, 0, Not applicable as no accident is occurring in the images., No, No, No, No," SUVs, Vans, Sedans", No," Daytime, snowy/icy conditions.", No
000131.mp4, 2, T-bone, Cannot determine from the image., Cannot determine from the image., Cannot determine from the image., Cannot determine from the image.," Sedan, Sedan", No," Night, Snowy", No
000132.mp4, 2, T-bone, Unknown, Unknown, No, Likely, Both appear to be sedans., No," Night, appears to be snowy/icy conditions", No
000133.mp4,3,T-bone/side impact,Cannot determine with certainty,Cannot determine with certainty,Cannot determine with certainty,Likely,"Van, sedan, sedan",No,"Night, appears to be wet or icy road conditions",No
000134.mp4, 2, T-bone, Cannot determine from the image., Cannot determine from the image., Cannot determine from the image.," Cannot determine from the image, but likely needed for accident reporting.", Sedans., No.," Daytime, snowy/icy conditions."," No, the footage is relatively clear, despite being a bit distant."
000135.mp4," 0 (Based on the frame, there's no visible accident occurring)", N/A (No accident), No, No, No, No, I can identify a car in the image., No," Night, appears to be a cold winter scene with snow. It's difficult to determine the exact weather conditions (e.g., clear, cloudy) from a single image."," Yes, resolution is low making it difficult to see smaller details."
000136.mp4,4,Angle / Side Impact collision involving multiple vehicles,Yes (based on the severity of the crash),"Yes (likely, due to the severity)","Possible (given the potential for hazards, and impact to the vehicle)",Yes (to investigate the accident and manage the scene),"SUV, truck, motorcycles.",No (no visible fire),"Day, clear",Yes
000137.mp4, 0, None, No, No, No, No, Sedan, No," Day, Wet", No
000138.mp4, 0 (There is no visible accident in the provided frames.), N/A, no, no, no, no," Various vehicles are visible in the scene (SUVs, trucks, sedans), but none are involved in an accident in these frames.", no," Day, clear"," Low resolution/Quality, but sufficient to see what is happening."
000139.mp4," 0 (Based on the frames, there is no visible accident)", N/A (No accident is visible), No (No visible injuries), No (No indication of need), No (No indication of need), No (No indication of need)," Sedans, SUVs, a van.", No (No fire is visible)," Day, appears to be wet/rainy.", No
000140.mp4, 1, Single vehicle accident, Unknown, Unknown, Unknown, Unknown, Sedan, No," Night, clear", Yes
000141.mp4, 2, T-bone, Possibly yes (due to the severity of the impact and the visible debris), Likely yes (due to the possibility of injuries), Unlikely no (no visible fire or smoke), Likely yes (due to the severity of the accident), Sedan and SUV, No," Day, clear", No
000142.mp4, 2, T-bone," Likely yes, based on the severity of the impact."," Yes, based on the severity of the impact."," Possibly, to assess potential hazards."," Yes, to investigate the accident.", Sedans appear to be involved., No., Night and clear., No.
000143.mp4, 1, Pedestrian vs Vehicle, Yes, Yes, No, Yes, Sedan, No," Day, clear", No
000144.mp4, 2, Appears to be a side impact/T-bone collision.," Yes, based on the person sitting on the curb before the crash."," Yes, likely due to the potential for injury of the man sitting on curb."," No, based on no visual indication of fire."," Yes, likely needed for accident investigation and handling of the scene.", Two sedans., No," Day, weather is clear."," Yes, the footage is low resolution, making it difficult to identify details."
000145.mp4, 2, T-bone, Possibly (Difficult to determine from this footage)," Possibly (Due to the nature of the collision, it is possible but cannot be confirmed with footage.)", No, Probably (To investigate and file an accident report)," Truck, SUV/Minivan", No," Day, Clear", Yes
000146.mp4," 0 (Based on the current frame, there is no visible accident).", None (No accident is occurring in the frame)., No (There is no indication of injury)., No (No indication of need for ambulance)., No (No indication of fire or need for firetruck)., No (No indication of need for police).," Currently, one truck and one sedan are visible.", No (No fire is visible).," Day, clear weather.", Yes (The footage is low resolution and somewhat blurry).
000147.mp4, 2, Side Impact/ Overturn, Potentially yes, Potentially yes, Possibly (debris and possible fuel leak), Yes," Hatchback car, Semi-truck.", No (but potential for fuel leak)," Day, clear", Yes
000148.mp4,2,T-bone,"It is difficult to tell from the footage, but based on the impact, I would say yes",Likely,Unlikely,Likely,Sedans,No,"Day, Clear",Yes
000149.mp4,,,,,,,,,,
000150.mp4, 2, Likely a T-bone or intersection collision.," Potentially yes, given the nature of the collision.", Potentially yes.,  Potentially no., Yes., Sedan (at least one is visible)., No (no visible signs).," Night, potentially wet or rainy conditions."," Yes, the footage is low resolution and has poor visibility due to the lighting and possible weather."
000151.mp4, 1, Pedestrian collision, Yes, Likely yes, No, Yes, Small sedan, No, Day/Clear, Yes
000152.mp4, Unable to determine from frames, Unable to determine from frames, Unable to determine from frames, Unable to determine from frames, Unable to determine from frames, Unable to determine from frames, Appears to be a van, No," Daytime, clear"," Yes, low resolution"
000153.mp4, Impossible to tell from single frame., Impossible to tell from single frame., Unknown., Unknown., Unknown., Unknown., At least one sedan., No.," Night, appears clear.", Yes.
000154.mp4,,,,,,,,,,
000155.mp4," It is difficult to determine the exact number of vehicles involved in the accident from this single frame. It appears there may be at least one car that has crashed, but without more information, it is impossible to say if other vehicles were involved. The video appears to capture one vehicle.", It's impossible to determine the accident type from this frame alone.," Unknown, but unlikely.", Unknown., Unknown.," Likely, due to the presence of the crash.", Appears to be a car, No.," Daytime, possibly rainy or wet conditions based on the road surface.", Yes.
000156.mp4, 1 (possibly more vehicles are out of view), Pedestrian Hit, Likely yes, Likely yes, No (not indicated by the frame), Likely yes (for investigation and traffic control)," Bus (or a similar large vehicle), possible vehicle out of frame", No," Day, clear", Yes
000157.mp4, 2, T-Bone, Likely yes, Likely yes, Likely no, Yes, Van and Motorcycle, No," Day, clear", Yes
000158.mp4, 2, Rear-end, Unknown, Likely, Unlikely, Likely, Sedan and a van, No, Day/Clear, Yes
000159.mp4, 3, Rear end, Unknown, Unknown, Unknown, Likely, Sedans, No," Night, Clear", Yes
000160.mp4, 2, T-bone, Yes, Yes, No, Yes, Sedan and Motorcycle, No," Day, rainy/wet", Yes
000161.mp4, 2, T-bone," Based on the video, it's highly likely ""yes"" due to the nature of the impact on the motorcycle.","  Probably ""yes"" given the potential for injuries in a motorcycle accident."," ""no"" based on what can be seen in the video frames"," ""yes"", to investigate the accident and file a report.", Motorcycle and Sedan," ""no""", Day/Overcast," ""yes"""
000162.mp4, 2 (based on the visible impact), T-bone," Possibly yes (based on the severity of the impact, further investigation is needed)"," Possibly yes (based on the severity of the impact, further investigation is needed)", No (no visible fire), Yes (traffic accident investigation), Sedan and Sedan, No," Day, clear", Yes (low resolution)
000163.mp4, 2, T-bone, Likely yes (based on the violent impact)., Yes, Maybe, Yes," Sedan (at least one, possibly two)."," Likely, there is a bright flash and sustained light suggesting some type of combustion."," Night, possibly wet (lights are diffused).", Yes
000164.mp4, 2, T-Bone, Potentially yes (based on the severity of the impact)., Probably yes., Possibly yes (due to the severity and debris)., Yes (standard procedure for accidents).," At least one Sedan, the other vehicle type is unclear.", No (not visibly in the frames).," Night, weather unclear (appears possibly wet).", Yes.
000165.mp4, 0, None, No, No, No, No," SUVs, Sedans, Van", No, Day/Clear, No
000166.mp4, 2, T-Bone (based on vehicle orientation after the apparent impact), Potentially Yes (based on the impact type and the presence of a pedestrian nearby), Potentially Yes (given the potential for injuries from a T-Bone collision and a nearby pedestrian), No (no evidence of fire or need for extraction), Yes (traffic accidents require police investigation), Sedan (likely) and possibly another Sedan., No," Night, Wet/Rainy (based on street glare and visibility)"," Yes (the footage is grainy and low resolution, making it difficult to ascertain specific details)."
000167.mp4, 2," Side impact, potentially a sideswipe or a T-bone type situation"," yes, based on the body posture after collision"," Potentially yes, given the body posture in the image"," No, no sign of fire"," Likely yes, given the event being recorded and the presence of what appears to be a police logo.", Sedan and unknown, No," Daytime, clear weather"," Yes, the footage is low resolution, making it difficult to identify details accurately."
000168.mp4, 2, Pedestrian strike, Yes, Yes, No, Yes, Sedan and pedestrian, No," Night, and weather is unknown but it appears to be clear.", Yes
000169.mp4," 0 (There is no indication of an accident, but I am providing an analysis of the vehicles at the intersection)", N/A, no, no, no, no," Tanker truck, pickup truck, sedan,", no," Day, clear", yes
000170.mp4, 2, T-Bone. One vehicle appears to have hit another at an intersection., Yes (Based on visible impact).," Yes (Likely, given the severity of the impact).", Possibly (if there is a potential for fire)., Yes (Accidents with injuries typically require police involvement).," Sedan (at least one, possible SUV or station wagon).", Yes (Possible fire after the impact).," Night, clear weather.", Yes (Video is low resolution)
000171.mp4, 2, T-bone, Unknown., Likely., Unknown., Highly likely.," SUV, mini-bus/van.", No.," Night, wet.", Yes.
000172.mp4, 0 (There is no accident in the provided frames.), N/A, No, No, No, No," SUVs, trucks, sedans, van, other.", No," Day, clear", Yes
000173.mp4," 0 (Based on the provided frames, there's no visible evidence of an accident).", None (No accident detected)., No (No indication of injuries)., No (No need apparent)., No (No need apparent)., No (No need apparent).," SUVs, sedans, and trucks are visible in traffic.", No.," Daytime, clear.", Yes.
000174.mp4,"  Impossible to determine from these images. There is no accident shown, but cars are driving in various directions.",  Cannot be determined as there is no accident present in the images.," Unknown, cannot be determined."," Unknown, cannot be determined."," Unknown, cannot be determined."," Unknown, cannot be determined.","  Sedans, SUVs, and potentially trucks are visible but their involvement in an accident is nonexistent.", No.," Night, and assuming the weather is clear."," Yes, the footage is of low resolution and quality."
000175.mp4, 0, N/A, no, no, no, no, sedan, no," night, clear", yes
000176.mp4, 0, None, no, no, no, no," SUV, sedan, van, truck", no," Day, clear", yes
000177.mp4,2,T-bone,Unknown,Unknown,Unknown,Likely,"SUV, Sedan",No,"Day, Clear",Yes
000178.mp4, 0 (I do not see an accident. I see vehicles passing through an intersection), None, No, No, No, No," SUVs, trucks, sedans", No," Day, clear", Yes
000179.mp4," 0 (Based on the frames, I do not see any vehicle collisions.  The cars are simply moving through an intersection at night.)", Not Applicable, No, No, No, No, Sedans (Based on the headlights and general shape), No," Night, weather is not discernible (likely clear based on visibility)", Yes
000180.mp4," 0 (Based on the provided frames, there is no visible accident.)", N/A (No accident is visible)," No (No accident, no injury)"," No (No accident, no need)"," No (No accident, no need)"," No (No accident, no need)"," SUVs, Sedans, Taxi (yellow sedan)", No (No fire is visible), Day/Clear, yes.
000181.mp4, 2, T-bone, Unknown, Unknown, Unknown, Unknown, Sedan and SUV, No," Night, clear", Yes
000182.mp4," 0 (Based on this frame alone, there is no visible accident, just traffic.)", N/A (No accident visible.), no (No visible indication of injury.), no (No indication of the need for an ambulance.), no (No indication of the need for a firetruck.), no (No visible evidence to suggest police presence or need.)," SUVs, sedans, trucks. (Based on visible vehicle shapes.)", no," Night, and unclear (Due to resolution, I cannot definitively determine the weather conditions)", yes
000183.mp4," It is impossible to know, the footage is demo only"," It is impossible to know, the footage is demo only"," It is impossible to know, the footage is demo only"," It is impossible to know, the footage is demo only"," It is impossible to know, the footage is demo only"," It is impossible to know, the footage is demo only"," SUVs, sedans, some hatchbacks. It is impossible to know, the footage is demo only", No.," Day, clear weather."," Yes, the footage is low resolution and the footage is demo only"
000184.mp4, 2, T-bone," Potentially yes (given the severity of the impact, it is possible someone was injured. However, the image alone does not provide this information)"," Potentially yes (based on the accident type, this is possible)", Potentially no (there is no visual indication of a fire), Likely yes (accidents of this nature usually require police assistance), SUV and a box truck, No," Day, clear"," No (while not high-definition, the footage is sufficient to see the accident)"
000185.mp4, 2, T-Bone," Yes (likely, based on the severity of the crash and debris field)", Yes, Yes (based on the presence of smoke/dust cloud after impact), Yes," It is difficult to determine the exact vehicle types due to the low quality and the impact. However, one appears to be a pickup and the other is either a car or a small SUV.", Possibly (Smoke/dust cloud observed after impact could indicate this)," Night, Weather appears to be raining/wet roads.", Yes
000186.mp4," 0 (Based on the provided images, there is no visible accident).", N/A, No (Based on visual evidence)., No (Based on visual evidence)., No (Based on visual evidence)., No (Based on visual evidence)., Sedan and truck., No," Night, wet (likely raining).", Yes. The footage is grainy and low resolution.
000187.mp4, 2," Angle/Side Impact (appears similar to a T-bone, but with an angle)", Likely yes (based on the severity of the impact), Likely yes, Possibly yes (depending on potential hazards/fuel spillage), Yes (accident investigation required), Appears to be sedans, No (based on the frame)," Night, Wet (based on road conditions)"," No, footage is reasonably clear."
000188.mp4, 2, Broadside/T-Bone, Likely Yes (based on severity of the accident), Highly Likely, Possibly (depending on the extent of damage and potential hazards)," Yes (standard for traffic accidents, especially with potential injuries)", Appears to be two sedans., No (no visible flames)," Night, likely clear", Yes
000189.mp4, 3, T-bone/Intersection Collision, Possible (based on the severity of the impact), Likely, Unlikely, Yes, Vans and Sedan, No," Night, clear", Yes
000190.mp4,"0 (Based on the video, there does not seem to be any accident)",N/A,No,No,No,No,"Scooter, Sedan, Van",No,"Day, clear",No
000191.mp4, 1 (bus), Appears to be loss of control causing the bus to veer off course.," Unknown, but given the size of the bus and its trajectory, injury is possible."," Probably yes, given the potential for injuries."," Unlikely, unless there's a fuel spill or fire hazard."," Yes, to investigate the cause of the accident and manage traffic.", Bus, No," Day, clear weather."," Yes, the footage is low resolution."
000192.mp4, 1 (Based on the video I see one car veering off the road and possibly hitting an object), Single Vehicle Accident (Possible collision with a stationary object), Unknown, Unknown, Unknown, Possible, Sedan, No," Night, weather unclear (appears clear)", Yes
000193.mp4,1,Pedestrian accident,Yes,Yes,No,Yes,"Bus, pedestrian.",No,"Day, clear",Yes
000194.mp4, 0 (There is no accident in these frames. This is an ordinary crossing.), Not applicable (no accident)., No., No., No., No.," SUV, vans, cars, motorcycles/scooters.", No.," Day, clear.", Yes.
000195.mp4, 1," Unable to determine from this single frame. It appears that a possible collision has occurred, but the type is not visible.", Unable to determine from this frame., Unable to determine from this frame., Unable to determine from this frame., Unable to determine from this frame.," Bus, and what looks like a delivery van or light duty truck.", No," Day, clear weather.", Appears to be low resolution.
000196.mp4, 2," T-bone (likely, based on the approach angles)", Likely yes (based on the impact and potential vulnerability of motorcycle rider), Yes, No (no visible fire), Yes," Van/Light Truck, Motorcycle", No," Day, clear weather", Yes
000197.mp4,1,Single vehicle accident (motorcycle fall),Yes (based on the fall),Possibly yes (given the visible injuries),No,Possibly yes (to investigate the accident),Motorcycle/Scooter,No,"Day, clear",No
000198.mp4,2,Appears to be a vehicle colliding with a motorcycle. It is not possible to ascertain type of accident type from a single frame,Yes. There is a person seen on the ground.,"Yes, likely due to apparent injury.","No, no fire is visible.","Yes, an accident has occurred.",Sedan and Motorcycle,No.,"Day, clear weather","No, the footage has enough detail to be helpful."
000199.mp4, 2, T-bone, Yes, Yes, No, Yes," Sedan, Motorcycle", No," Day, Clear", No
000200.mp4, 1, Unknown. The footage does not show an accident happening., Unknown, Unknown, No, Unknown, Motorcycle or Scooter and a Car., No," Day, clear", Low Resolution
000201.mp4, 0, N/A, N/A, No, No, No," Sedans, Van, small hatchback", No," Day, clear", Yes
000202.mp4, 2, T-bone," Possible (due to the force of impact, difficult to confirm from the footage).", Likely (due to the nature of the accident)., No (no visible fire or smoke)., Yes (to investigate the accident and manage traffic)., Sedan and SUV or Van., No," Night, wet (road surface appears wet reflecting headlights)."," Yes (the image quality is low, making it difficult to discern details clearly)."
000203.mp4, 2, T-bone, yes, yes, no, yes, Motorcycle and sedan, no," Day, clear", no
000204.mp4, 2, T-bone, yes, yes, no, yes, Car and Motorcycle, no," Day, clear", yes
